search_id,patient_id,search_query,filters_applied,treatment_clicked,country_clicked,clicked_clinic_id,time_on_search_page,timestamp
13,4dbc217c-7e64-444f-be67-8797f16c084e,cheap surrogacy,"specialty:cosmetic, language:spanish, language:english, specialty:dental",plastic surgery abroad,Spain,284,257,2025-04-07 14:19:30
14,e4fb2a3b-dc05-4e03-93f4-71e72cba1bc6,dental implants,specialty:fertility,cosmetic surgery,Ireland,1286,221,2025-02-01 14:19:30
15,2de66d5b-5e10-43a0-addb-8943f067ad82,mental health support,"specialty:cosmetic, rating:4+, feature:luxury, feature:financing",ivf treatment,USA,24,279,2025-03-15 14:19:30
16,b0acb9ba-da78-44c5-a6b3-a03ae57513a5,cardiology clinic,feature:luxury,cosmetic surgery,UAE,891,237,2025-04-18 14:19:30
17,96f19d54-c8a6-4005-a463-463c249316b4,hair transplant,"feature:financing, specialty:dental",hair transplant,Ireland,1281,264,2025-01-31 14:19:30
18,d7232ce3-1348-4fb3-8982-a300f95f17e6,cosmetic surgery,"specialty:fertility, feature:financing, verified",cardiology clinic,Denmark,1227,255,2025-04-16 14:19:30
19,c0697f1d-a93c-4413-9396-a289c29a988f,cardiology clinic,"feature:telemedicine, verified, specialty:cosmetic",ivf treatment,Norway,1162,48,2025-02-15 14:19:30
20,7570d730-e5e7-4add-a8c8-7ed8eb035cda,ivf treatment,"specialty:fertility, rating:4+",cosmetic surgery,Sweden,1126,140,2025-02-10 14:19:30
21,0723e11e-05fe-47bc-a8f7-8d49a2bc491e,cheap surrogacy,"feature:telemedicine, feature:financing, specialty:cosmetic, language:english",mental health support,Indonesia,639,196,2025-02-21 14:19:30
22,c8e7f2f6-aabb-4cac-88d7-51654c987a1b,plastic surgery abroad,"specialty:dental, feature:telemedicine, feature:financing, verified",dental implants,Vietnam,693,288,2025-03-20 14:19:30
23,6c4e5a8c-99af-4e64-9024-822544bb10e0,knee replacement,specialty:dental,dental implants,Czech Republic,1450,122,2025-04-10 14:19:30
24,53edc74f-1af0-46df-bf64-e5eebccd9b8c,dental implants,"specialty:dental, feature:financing, feature:telemedicine",dermatology clinic,South Korea,571,114,2025-02-08 14:19:30
25,dc409942-a8cf-4936-8e81-b2f02d474c4f,cheap surrogacy,"feature:telemedicine, rating:4+, language:spanish, specialty:dental",ivf treatment,Germany,194,225,2025-03-04 14:19:30
26,1e56d346-7e80-4d05-ac71-b531d3c724e8,mental health support,"verified, specialty:dental, specialty:cosmetic, feature:telemedicine",cardiology clinic,Hungary,1492,60,2025-03-18 14:19:30
27,9d655c03-2aa8-44da-96ec-0e55aad9e93d,knee replacement,"specialty:fertility, language:spanish, specialty:cosmetic, rating:4+",knee replacement,Saudi Arabia,948,43,2025-02-21 14:19:30
28,aa3d2111-a123-4193-9c53-20426a3e0103,plastic surgery abroad,verified,plastic surgery abroad,Greece,1336,12,2025-04-07 14:19:30
29,7d52903f-f2a4-4575-ae58-5967b063796a,knee replacement,"language:spanish, rating:4+",knee replacement,Qatar,986,210,2025-04-11 14:19:30
30,a9470663-0e73-4523-99ec-c846697437ea,mental health support,language:spanish,dermatology clinic,Japan,544,151,2025-02-23 14:19:30
31,8de6e6b3-bb27-46bc-9888-f0d99423251e,plastic surgery abroad,"specialty:fertility, feature:telemedicine, feature:luxury, specialty:dental",cheap surrogacy,Thailand,120,282,2025-04-11 14:19:30
32,4dbc217c-7e64-444f-be67-8797f16c084e,cardiology clinic,verified,dermatology clinic,Finland,1197,262,2025-02-10 14:19:30
33,bdf774c8-cf3e-44aa-994f-fd275dcd0d40,dental implants,specialty:fertility,cheap surrogacy,India,141,39,2025-01-22 14:19:30
34,b9a01137-63d6-4dd8-95a1-541489953dd1,knee replacement,"specialty:dental, feature:telemedicine, verified, feature:luxury",mental health support,India,168,294,2025-02-11 14:19:30
35,aec7f267-7990-4a27-ac7c-eeb78bb5f242,hair transplant,"language:english, feature:telemedicine",mental health support,Japan,544,72,2025-01-23 14:19:30
36,88ccddbc-6f0d-4229-9b38-7c72ac648459,hair transplant,"language:english, specialty:dental, verified, feature:telemedicine",cheap surrogacy,Ireland,1273,56,2025-04-09 14:19:30
37,97206c66-5fa1-4468-a4e8-4ffc1f3acc68,knee replacement,"specialty:fertility, language:english, specialty:dental",cardiology clinic,Australia,501,150,2025-03-29 14:19:30
38,4a4a15ea-075d-4cd4-a55c-82c7cadee3ec,plastic surgery abroad,"specialty:cosmetic, feature:financing, verified",plastic surgery abroad,Switzerland,1368,158,2025-01-24 14:19:30
39,ad987301-7f85-44e7-9177-6f21d48f5ba3,cosmetic surgery,"specialty:dental, specialty:cosmetic, specialty:fertility",hair transplant,South Korea,558,112,2025-03-06 14:19:30
40,39d3a9cf-cdfa-46af-a6eb-43b092d2408e,hair transplant,"feature:luxury, verified, specialty:dental, language:english",hair transplant,Egypt,868,27,2025-04-18 14:19:30
41,f55f2e80-a392-4a4e-8f2c-386f627b0edd,cosmetic surgery,"specialty:fertility, rating:4+, language:spanish",dental implants,Sweden,1149,62,2025-04-09 14:19:30
42,1ef11a27-1c3e-4da4-a89b-4fb2da317fd7,cosmetic surgery,language:english,plastic surgery abroad,Finland,1193,80,2025-02-22 14:19:30
43,605797cf-da55-4825-9086-f384733ac54f,dental implants,"language:english, verified, specialty:cosmetic",knee replacement,UK,431,57,2025-03-04 14:19:30
44,f287b989-dbbf-46ed-883b-64679c1267d2,plastic surgery abroad,"specialty:cosmetic, specialty:fertility, feature:telemedicine, language:spanish",cosmetic surgery,Georgia,333,216,2025-04-15 14:19:30
45,444122a5-6bd1-4826-a6c2-cbb783c74cbe,cardiology clinic,"feature:telemedicine, feature:luxury, specialty:fertility, language:spanish",ivf treatment,Czech Republic,1437,200,2025-04-14 14:19:30
46,3281f976-c680-42e5-a78d-af97a614f06a,dermatology clinic,"feature:telemedicine, rating:4+",hair transplant,Philippines,717,121,2025-03-21 14:19:30
47,e6d33572-2bf9-4861-8827-c440f6d9fe17,knee replacement,"language:english, feature:luxury, specialty:dental, language:spanish",cardiology clinic,South Korea,572,265,2025-02-26 14:19:30
48,2a85e3b1-1dd0-4ecd-8595-c9a36c0046f0,plastic surgery abroad,"verified, specialty:dental, feature:luxury",cheap surrogacy,France,366,140,2025-04-14 14:19:30
49,2719bfdb-53b3-418b-ade0-56489ac60306,cheap surrogacy,"language:english, specialty:cosmetic, language:spanish, feature:luxury",ivf treatment,Ukraine,1048,202,2025-02-04 14:19:30
50,c3d0bde3-cfbb-484a-80b5-70137f29c9e7,hair transplant,language:spanish,plastic surgery abroad,USA,4,280,2025-01-21 14:19:30
51,580661f1-7820-4426-b134-1ab8b9e8d781,knee replacement,"language:spanish, specialty:dental, language:english",cardiology clinic,Ireland,1277,68,2025-03-11 14:19:30
52,6fb9de37-7796-448f-b4b9-fb7329debccc,hair transplant,"language:english, language:spanish, feature:luxury, rating:4+",knee replacement,Brazil,261,220,2025-01-23 14:19:30
53,5e8c8bbf-8f1c-4f8c-b1ae-8af92826a561,mental health support,"specialty:cosmetic, feature:luxury",plastic surgery abroad,Chile,832,5,2025-03-11 14:19:30
54,23fbc01f-d7be-4b4f-b967-6dc6d6fdd1a5,knee replacement,"specialty:cosmetic, language:english, rating:4+, feature:telemedicine",knee replacement,UAE,906,266,2025-02-17 14:19:30
55,55a8d6a1-5d1d-4cb7-a5a7-e280277fecc6,cosmetic surgery,feature:luxury,cheap surrogacy,Poland,1056,176,2025-04-07 14:19:30
56,079e8b0b-f198-462e-9c9d-3eadaea491fc,knee replacement,"feature:telemedicine, specialty:cosmetic, specialty:fertility",dental implants,Mexico,51,130,2025-02-17 14:19:30
57,d76f0813-4ce7-44d7-a724-b119af2f32a7,ivf treatment,"language:spanish, feature:telemedicine, specialty:cosmetic, feature:financing",knee replacement,Chile,819,80,2025-01-25 14:19:30
58,0d093c73-6448-43d5-9576-7137d456e29d,dental implants,language:spanish,cosmetic surgery,Canada,449,270,2025-02-18 14:19:30
59,1d9fff25-7e63-4654-93ff-5f1f150e3388,plastic surgery abroad,"specialty:dental, rating:4+",dermatology clinic,Spain,274,276,2025-02-06 14:19:30
60,0a5a2698-17cb-47b8-ad0f-74e6a174a785,cardiology clinic,"specialty:cosmetic, feature:financing, language:spanish, rating:4+",dermatology clinic,Sweden,1123,86,2025-02-17 14:19:30
61,b69d2f48-3653-4588-afd5-8fe765c62548,hair transplant,"feature:luxury, feature:financing",knee replacement,Russia,993,145,2025-02-21 14:19:30
62,f9a732dc-5d1c-4906-9090-dc9d2b3171dc,hair transplant,"feature:luxury, language:english",plastic surgery abroad,Malaysia,655,46,2025-04-01 14:19:30
63,fa4ffba8-c437-4d89-9a4e-b9f3ad2e4db8,knee replacement,"specialty:fertility, feature:telemedicine, specialty:dental, feature:financing",cardiology clinic,Chile,835,282,2025-02-18 14:19:30
64,5e3003e1-f541-444e-96cc-b813263553ba,dental implants,"language:spanish, specialty:cosmetic",cheap surrogacy,Slovenia,1577,15,2025-02-04 14:19:30
65,150d28eb-9368-4dd6-9050-127e4e385d03,dermatology clinic,language:english,mental health support,South Africa,612,219,2025-02-09 14:19:30
66,4dbc217c-7e64-444f-be67-8797f16c084e,plastic surgery abroad,"rating:4+, feature:telemedicine",mental health support,South Korea,559,253,2025-04-15 14:19:30
67,7a7628e6-7394-4796-91c4-243bf07db671,cardiology clinic,"specialty:fertility, rating:4+, specialty:cosmetic, feature:luxury",dental implants,Netherlands,1094,206,2025-02-02 14:19:30
68,61a2d612-9a2f-4701-b3af-bb098c126e0e,dental implants,language:spanish,dermatology clinic,Spain,278,98,2025-04-12 14:19:30
69,76d32b96-4f7f-463e-93c5-44a3cc0b200d,mental health support,"feature:telemedicine, rating:4+, language:english",mental health support,Vietnam,692,147,2025-02-24 14:19:30
70,a5630d3a-497b-413b-92de-b47d4455d60e,ivf treatment,"verified, feature:financing, specialty:cosmetic, specialty:fertility",ivf treatment,Canada,460,25,2025-04-15 14:19:30
71,4da273ed-5fdc-4844-bdb3-7e454e0f89b9,knee replacement,"verified, specialty:fertility",cosmetic surgery,Australia,489,247,2025-01-23 14:19:30
72,caf07226-7e00-4029-847f-9b05851b5f38,cheap surrogacy,"rating:4+, feature:luxury",cardiology clinic,Slovenia,1571,90,2025-01-31 14:19:30
73,7a44bd05-cd32-4878-a83e-c3a01445587e,ivf treatment,"feature:luxury, specialty:dental",dental implants,Norway,1186,164,2025-02-04 14:19:30
74,7957595f-25ee-4f0f-b6a3-0eb0c50c71f4,mental health support,"feature:telemedicine, specialty:dental, specialty:cosmetic, verified",hair transplant,Belgium,1428,66,2025-02-05 14:19:30
75,0abe8257-8ffe-48c9-92d8-1eb31a140609,dental implants,"feature:financing, language:spanish, language:english",plastic surgery abroad,India,142,179,2025-04-17 14:19:30
76,b3468999-2598-4c54-aba2-a67c9c433e67,mental health support,"specialty:dental, language:spanish, language:english, rating:4+",dermatology clinic,Singapore,1698,83,2025-02-22 14:19:30
77,916baf87-6c27-416b-9d05-b827a863782e,plastic surgery abroad,"specialty:cosmetic, feature:financing, rating:4+",mental health support,Qatar,953,142,2025-03-08 14:19:30
78,c9d0c0fc-9fd6-4922-8b5f-74aae3386d52,knee replacement,feature:luxury,knee replacement,Saudi Arabia,924,242,2025-02-05 14:19:30
79,d76f0813-4ce7-44d7-a724-b119af2f32a7,mental health support,"verified, rating:4+, language:english",dermatology clinic,France,373,113,2025-03-04 14:19:30
80,6a6e94cf-f83a-4bce-b069-697733af15be,hair transplant,"feature:luxury, specialty:cosmetic, verified",knee replacement,Poland,1059,48,2025-03-19 14:19:30
81,580661f1-7820-4426-b134-1ab8b9e8d781,mental health support,"feature:financing, feature:telemedicine, rating:4+, language:english",dermatology clinic,Czech Republic,1458,234,2025-04-16 14:19:30
82,67899d92-f33c-4c36-9a69-0cadaaab5830,hair transplant,"language:spanish, feature:telemedicine",cheap surrogacy,Indonesia,628,193,2025-02-17 14:19:30
83,bbfc5dc1-fff4-46b9-bb46-8c13f28a030b,plastic surgery abroad,"language:spanish, feature:financing, language:english",dermatology clinic,Philippines,721,143,2025-03-10 14:19:30
84,69958fd1-d891-4adf-b41c-612aa2491260,knee replacement,feature:telemedicine,ivf treatment,Malaysia,647,279,2025-01-20 14:19:30
85,9291e493-528a-44f3-a3ea-c0a19202b09c,knee replacement,"rating:4+, feature:luxury",cheap surrogacy,Hungary,1484,273,2025-02-01 14:19:30
86,a84d5f25-abf2-4369-9d0a-06d3e592ee7c,ivf treatment,"feature:luxury, feature:telemedicine",cosmetic surgery,Philippines,740,159,2025-04-17 14:19:30
87,50db8e34-938f-4b90-ac08-7d6c04de78f8,plastic surgery abroad,"feature:luxury, verified",plastic surgery abroad,Thailand,112,154,2025-01-19 14:19:30
88,1ef11a27-1c3e-4da4-a89b-4fb2da317fd7,cosmetic surgery,"specialty:dental, verified, feature:luxury, feature:telemedicine",dermatology clinic,Qatar,981,179,2025-03-26 14:19:30
89,90d5e87e-4f48-4f45-92b4-002c7b2e60e1,dental implants,"rating:4+, specialty:dental, feature:financing",dermatology clinic,Chile,821,42,2025-02-04 14:19:30
90,155287c7-0b96-4346-a498-da39d7c8f02c,dental implants,"specialty:fertility, feature:luxury",knee replacement,Germany,175,65,2025-02-06 14:19:30
91,0bf2fb51-c4f5-403e-9af1-128cc8ee46bf,mental health support,"feature:financing, language:spanish",dermatology clinic,Saudi Arabia,923,157,2025-02-02 14:19:30
92,7e81cdfa-bf16-43e9-89b7-e0374425dea7,hair transplant,specialty:cosmetic,ivf treatment,Romania,1516,111,2025-01-28 14:19:30
93,79ab3018-87f3-49a4-8d1a-810d910171d2,hair transplant,specialty:fertility,cosmetic surgery,Australia,492,287,2025-04-09 14:19:30
94,bdf774c8-cf3e-44aa-994f-fd275dcd0d40,dental implants,"rating:4+, specialty:cosmetic, feature:luxury, verified",hair transplant,Canada,475,149,2025-01-19 14:19:30
95,0976e09f-1593-4f42-8d31-29b3e1878e93,dermatology clinic,feature:telemedicine,cheap surrogacy,Japan,542,106,2025-02-23 14:19:30
96,caf07226-7e00-4029-847f-9b05851b5f38,plastic surgery abroad,"specialty:fertility, feature:luxury",cosmetic surgery,Singapore,1693,41,2025-04-11 14:19:30
97,a9470663-0e73-4523-99ec-c846697437ea,hair transplant,"rating:4+, specialty:dental, specialty:cosmetic",hair transplant,Belgium,1411,211,2025-03-15 14:19:30
98,0d9ff83d-70a3-4883-8c58-2872a2fba345,plastic surgery abroad,"rating:4+, specialty:dental, verified, feature:telemedicine",cardiology clinic,Romania,1505,133,2025-04-15 14:19:30
99,79cfc04f-5b29-417a-a675-d5e2f1773294,knee replacement,feature:luxury,dental implants,Norway,1181,94,2025-02-17 14:19:30
100,de4097c3-3427-4466-97f4-b85d597faaf0,dermatology clinic,"specialty:fertility, language:spanish, rating:4+",dermatology clinic,Germany,187,183,2025-02-25 14:19:30
101,f55f2e80-a392-4a4e-8f2c-386f627b0edd,cardiology clinic,specialty:fertility,mental health support,Malaysia,676,258,2025-03-13 14:19:30
102,038d5f5a-2296-43f6-a005-dd7e166f419a,mental health support,rating:4+,cardiology clinic,Germany,181,134,2025-03-08 14:19:30
103,a97ef131-4b26-40a3-b3b1-cca4774d34f5,mental health support,feature:financing,mental health support,Saudi Arabia,947,32,2025-03-25 14:19:30
104,de4097c3-3427-4466-97f4-b85d597faaf0,cardiology clinic,"rating:4+, verified, feature:telemedicine, specialty:fertility",cosmetic surgery,Sweden,1125,152,2025-02-21 14:19:30
105,0f589a93-bb63-421d-9c45-eba38159ace5,dermatology clinic,verified,cheap surrogacy,Ireland,1291,127,2025-01-18 14:19:30
106,e42f0c28-c3e3-4148-86e2-e861957edc3c,hair transplant,feature:financing,ivf treatment,Chile,836,120,2025-04-04 14:19:30
107,9925bc9b-cd60-4879-b79b-1079abb8fe95,ivf treatment,"rating:4+, feature:luxury",hair transplant,Ukraine,1043,217,2025-02-16 14:19:30
108,949aca46-0a87-4ac2-8f3f-5995e468eb64,knee replacement,"feature:financing, specialty:fertility, language:spanish, specialty:dental",plastic surgery abroad,Denmark,1228,74,2025-04-10 14:19:30
109,157c6813-e581-420f-9c0d-b2660e29ed9a,mental health support,"feature:financing, feature:luxury, verified",hair transplant,South Africa,580,255,2025-03-30 14:19:30
110,2219b7f7-7808-4004-82a4-58e115f2f85a,plastic surgery abroad,"language:english, specialty:cosmetic, language:spanish, feature:telemedicine",knee replacement,Malaysia,660,127,2025-02-04 14:19:30
111,d4a39a51-c481-4a69-b83b-f029b6ac2048,knee replacement,"verified, language:english, rating:4+, feature:financing",mental health support,Israel,1662,202,2025-01-24 14:19:30
112,196b58f1-ded8-4c47-bb88-854e7f968d71,cosmetic surgery,"verified, specialty:fertility, language:english, language:spanish",dermatology clinic,Croatia,206,56,2025-02-10 14:19:30
113,d4147d03-6cfa-48cf-b62e-110a25848385,dermatology clinic,specialty:fertility,cosmetic surgery,Chile,840,43,2025-02-17 14:19:30
114,0abe8257-8ffe-48c9-92d8-1eb31a140609,hair transplant,"specialty:cosmetic, language:spanish, specialty:dental",plastic surgery abroad,Malaysia,673,199,2025-03-09 14:19:30
115,a95d3271-bd92-47a4-9d2a-e042042a2f64,dermatology clinic,specialty:cosmetic,knee replacement,India,141,152,2025-03-20 14:19:30
116,4dbc217c-7e64-444f-be67-8797f16c084e,ivf treatment,"specialty:dental, specialty:cosmetic, rating:4+, feature:financing",hair transplant,Belgium,1422,19,2025-04-13 14:19:30
117,d76ac5a8-08e9-4548-9b16-acb8e7bd1db7,dental implants,"language:english, specialty:cosmetic, language:spanish",knee replacement,Spain,299,276,2025-02-25 14:19:30
118,2d921dab-4152-4bff-a61b-973817b16c43,cosmetic surgery,"specialty:fertility, specialty:dental",mental health support,Denmark,1249,128,2025-02-14 14:19:30
119,0febecad-179d-4ae3-94fa-7d50697c4d7d,cheap surrogacy,"feature:telemedicine, rating:4+",hair transplant,Portugal,1307,240,2025-03-17 14:19:30
120,dbe83664-302f-420e-b874-05cab22f2e91,dental implants,"feature:luxury, feature:financing, specialty:fertility, verified",cardiology clinic,UAE,905,158,2025-01-27 14:19:30
121,59410ea3-8c2b-478e-9f50-e1aa0088b13a,mental health support,"rating:4+, feature:luxury, feature:telemedicine",dermatology clinic,Colombia,788,59,2025-03-19 14:19:30
122,84308e0c-3fe6-44f4-a867-0d3b1c5f3cba,cheap surrogacy,"specialty:cosmetic, feature:luxury, feature:financing",mental health support,Mexico,45,145,2025-04-17 14:19:30
123,2d921dab-4152-4bff-a61b-973817b16c43,dental implants,"feature:luxury, feature:telemedicine, language:english, specialty:dental",knee replacement,Portugal,1304,133,2025-01-22 14:19:30
124,e4fb2a3b-dc05-4e03-93f4-71e72cba1bc6,cosmetic surgery,verified,dermatology clinic,Indonesia,633,22,2025-02-03 14:19:30
125,b2cfba8b-290c-42f8-930b-ef6519b38619,cosmetic surgery,feature:luxury,mental health support,Malaysia,670,94,2025-03-24 14:19:30
126,dc409942-a8cf-4936-8e81-b2f02d474c4f,plastic surgery abroad,"feature:financing, specialty:cosmetic, feature:luxury",hair transplant,Georgia,337,251,2025-03-12 14:19:30
127,4dbc217c-7e64-444f-be67-8797f16c084e,cardiology clinic,rating:4+,cosmetic surgery,India,155,120,2025-01-22 14:19:30
128,56d2bb12-af5a-4636-a8b8-d2529670cd19,mental health support,"specialty:dental, language:spanish, verified",plastic surgery abroad,Japan,542,68,2025-02-19 14:19:30
129,d03cd20a-baae-4bf8-9a24-45256bbe2bd6,hair transplant,"language:english, specialty:dental, feature:telemedicine, rating:4+",cheap surrogacy,Mexico,52,292,2025-03-08 14:19:30
130,79ebb8bb-214b-4473-a375-58676cc56071,cheap surrogacy,"specialty:dental, rating:4+",hair transplant,Czech Republic,1436,214,2025-04-04 14:19:30
131,acce693e-91a0-4ef2-9c00-7554c3963bf9,dental implants,feature:luxury,ivf treatment,Russia,1009,54,2025-03-19 14:19:30
132,bca2c581-928b-4e4b-8c47-2ded72e06bb4,plastic surgery abroad,"language:spanish, rating:4+",plastic surgery abroad,Argentina,760,219,2025-02-02 14:19:30
133,9b125dfb-2804-435a-b311-65e02c5cce54,cosmetic surgery,"specialty:dental, rating:4+, language:spanish, specialty:fertility",cardiology clinic,Mexico,68,116,2025-02-21 14:19:30
134,754a3e48-a5b1-4afd-af2c-20ac953922c0,knee replacement,"specialty:dental, language:english, feature:financing",mental health support,Thailand,125,146,2025-03-25 14:19:30
135,c80682d3-567b-4583-a679-3a4b73cecf7c,ivf treatment,"specialty:dental, feature:telemedicine, verified, rating:4+",cardiology clinic,Bulgaria,1612,129,2025-04-02 14:19:30
136,e9365d1b-3494-4114-9ef1-4d581e392331,cheap surrogacy,"specialty:dental, feature:financing",cheap surrogacy,UK,425,115,2025-03-20 14:19:30
137,c9eef97c-eade-4b17-b0d0-90bd0dff01ba,cosmetic surgery,feature:luxury,cosmetic surgery,Spain,297,281,2025-03-17 14:19:30
138,6a6e94cf-f83a-4bce-b069-697733af15be,cosmetic surgery,verified,dental implants,Brazil,270,188,2025-03-19 14:19:30
139,6c4e5a8c-99af-4e64-9024-822544bb10e0,cardiology clinic,specialty:fertility,dental implants,Japan,544,69,2025-02-24 14:19:30
140,f8bc920c-ff7d-49f7-9563-5c97365f982b,ivf treatment,rating:4+,cardiology clinic,Saudi Arabia,919,267,2025-02-02 14:19:30
141,2719bfdb-53b3-418b-ade0-56489ac60306,dermatology clinic,"specialty:cosmetic, verified",plastic surgery abroad,Hungary,1490,159,2025-02-19 14:19:30
142,df22367d-4262-448c-9aa3-3580fb708dd7,dental implants,rating:4+,mental health support,Chile,823,60,2025-02-15 14:19:30
143,792cad76-e39e-47c2-aac9-8528a5f701fe,dermatology clinic,specialty:dental,cheap surrogacy,Malaysia,660,80,2025-04-10 14:19:30
144,62359144-1e7f-42ad-aa39-73ffe14fea78,hair transplant,"language:spanish, feature:financing, feature:luxury",plastic surgery abroad,Saudi Arabia,930,225,2025-04-06 14:19:30
145,55a8d6a1-5d1d-4cb7-a5a7-e280277fecc6,ivf treatment,"language:spanish, rating:4+",mental health support,Canada,468,178,2025-02-19 14:19:30
146,f1db9ad8-6098-4b94-a05b-189264bc08cf,mental health support,language:english,cardiology clinic,Egypt,875,135,2025-03-02 14:19:30
147,96f19d54-c8a6-4005-a463-463c249316b4,cosmetic surgery,"specialty:dental, specialty:cosmetic, feature:financing, verified",ivf treatment,UAE,885,195,2025-04-02 14:19:30
148,91b45e06-cc0a-428b-b518-5923e8292e3b,dental implants,"specialty:dental, language:spanish, language:english",mental health support,Switzerland,1363,31,2025-03-13 14:19:30
149,7ecd7062-ee40-4b9f-a7b2-a5c1b6b0d0b9,hair transplant,"specialty:dental, feature:financing, feature:telemedicine",dermatology clinic,Georgia,317,119,2025-04-05 14:19:30
150,e124c3f2-5132-4e68-a1a0-54a970583380,plastic surgery abroad,"specialty:dental, feature:luxury, feature:telemedicine",mental health support,Israel,1654,292,2025-01-29 14:19:30
151,1397a29f-8d0d-46f6-8c37-eb80918b8e18,plastic surgery abroad,specialty:cosmetic,hair transplant,Greece,1348,19,2025-03-26 14:19:30
152,f6babccc-0acf-4d89-9a3e-d15aa4f0708a,hair transplant,"language:english, verified, specialty:fertility",cheap surrogacy,Spain,294,210,2025-04-10 14:19:30
153,af74ae63-8dc4-481f-a8fa-e9047d94ed9f,dental implants,feature:financing,mental health support,UK,441,219,2025-02-19 14:19:30
154,649a0bf9-f5f3-443a-a8e7-f03002038340,cosmetic surgery,"feature:luxury, language:english, specialty:dental",cosmetic surgery,Thailand,108,85,2025-01-29 14:19:30
155,1d9fff25-7e63-4654-93ff-5f1f150e3388,ivf treatment,"rating:4+, language:spanish, specialty:cosmetic",dermatology clinic,Denmark,1244,217,2025-03-15 14:19:30
156,4d45d885-d2e0-4e57-a6cb-1dda13a0181b,plastic surgery abroad,language:english,ivf treatment,Egypt,881,150,2025-01-22 14:19:30
157,2a85e3b1-1dd0-4ecd-8595-c9a36c0046f0,cheap surrogacy,"feature:financing, feature:luxury, verified, specialty:dental",cheap surrogacy,Colombia,810,33,2025-04-18 14:19:30
158,39d3a9cf-cdfa-46af-a6eb-43b092d2408e,hair transplant,"specialty:fertility, feature:luxury",cardiology clinic,South Africa,593,66,2025-04-18 14:19:30
159,26b94955-f336-45da-8380-3b4a7dc42f12,mental health support,"specialty:fertility, language:spanish",knee replacement,Netherlands,1091,261,2025-02-06 14:19:30
160,0ecc9ff5-9316-4f53-a70a-f82826a4cbef,cardiology clinic,language:spanish,dental implants,Romania,1520,228,2025-04-16 14:19:30
161,f077671b-9b3b-4b4c-bf2a-50c05ab383c9,ivf treatment,"specialty:cosmetic, language:spanish, feature:financing",mental health support,Czech Republic,1454,153,2025-04-04 14:19:30
162,a06aa68a-9cac-4d21-a5a8-c8af8efbd22a,dental implants,"specialty:fertility, rating:4+, language:english",mental health support,Germany,181,59,2025-03-18 14:19:30
163,68950908-2e2c-4850-ab17-bd75307a1acb,cheap surrogacy,"feature:financing, specialty:dental, language:spanish, rating:4+",cardiology clinic,Indonesia,636,118,2025-03-07 14:19:30
164,9c4e7b65-c81a-4f0f-9b1b-ba94f9834d4b,cosmetic surgery,feature:financing,ivf treatment,Portugal,1297,276,2025-02-12 14:19:30
165,6f9d1d74-f82c-4ad8-9d03-7a064cad66c5,cardiology clinic,"specialty:fertility, feature:telemedicine, specialty:dental",hair transplant,Spain,300,106,2025-03-27 14:19:30
166,86514886-a5b0-4024-a12a-d11986fbbcdb,cosmetic surgery,specialty:fertility,dermatology clinic,Slovenia,1583,242,2025-02-05 14:19:30
167,395e54f0-8fde-442a-9ee5-69303a085f6a,cheap surrogacy,"specialty:cosmetic, language:english, feature:financing, specialty:dental",ivf treatment,UAE,901,245,2025-02-21 14:19:30
