clinic_id,clinic_name,country,city,specialties,languages_spoken,is_verified,has_profile_photo,has_doctor_bio,has_services_listed,has_prices_listed,has_reviews,completeness_score,average_price,average_review_rating,response_rate_percent,average_response_time_hours,last_updated_date,total_clicks,last_clicked_date,clinic_activity_score,inquiries_last_30_days,last_response_date
46,Spence PLC,Croatia,Split,"Dermatology, Fertility","English, Spanish",1,0,1,0,1,0,,7363.22,2.6,91,69.9,2025-04-09,480,2025-02-27,33,21,2025-03-30
47,Anderson Group,Germany,Munich,"Dental, Cosmetic Surgery, Orthopedics","Thai, Croatian",1,0,0,0,1,0,,7594.28,2.7,56,55.0,2025-01-18,893,2025-04-12,56,10,2025-03-27
48,"Martin, Rose and Obrien",Turkey,Istanbul,Cosmetic Surgery,German,1,1,1,0,0,1,,5876.32,4.2,60,13.4,2025-01-30,891,2025-03-25,79,43,2025-04-11
49,Hickman Ltd,Thailand,Phuket,Fertility,"Thai, German",1,1,0,1,1,0,,1201.69,4.8,87,22.2,2025-02-23,706,2025-04-02,58,19,2025-04-12
50,"Harris, Collins and Carney",Thailand,Chiang Mai,Fertility,"Hindi, German",1,1,0,1,1,0,,5876.33,3.7,97,70.1,2025-01-31,763,2025-03-18,36,49,2025-03-24
51,"Brooks, Lam and Hayes",Mexico,Tijuana,"Fertility, Dermatology","German, Thai, Spanish",0,0,1,1,0,1,,7457.42,1.4,68,24.2,2025-02-24,179,2025-04-06,16,50,2025-04-01
52,Walker LLC,Turkey,Izmir,"Cosmetic Surgery, Fertility, Dermatology","Croatian, German",1,0,1,0,0,0,,8671.34,3.9,75,69.7,2025-02-06,374,2025-04-13,50,0,2025-04-10
53,Chapman and Sons,India,Delhi,"Cosmetic Surgery, Dermatology","Turkish, Thai, German",0,0,1,0,1,0,,6652.7,3.5,79,65.6,2025-03-11,664,2025-03-23,14,8,2025-04-17
54,"Robinson, Jones and Welch",USA,New York,"Dental, Dermatology",Hindi,0,1,1,1,1,0,,8911.43,3.6,81,44.7,2025-03-14,33,2025-03-05,47,13,2025-04-04
55,Jones Inc,Thailand,Bangkok,"Dental, Cosmetic Surgery","Thai, German, English",1,1,0,0,1,0,,6796.3,3.6,88,69.9,2025-04-12,805,2025-03-28,31,8,2025-03-24
56,Jones-Young,India,Delhi,Cardiology,Hindi,0,0,1,0,0,1,,8654.86,1.6,58,39.4,2025-03-27,112,2025-03-07,3,8,2025-04-18
57,"Washington, Ryan and Cummings",Turkey,Istanbul,"Cosmetic Surgery, Dental, Fertility","English, Spanish",1,0,0,1,1,1,,5375.76,1.4,82,16.7,2025-01-30,44,2025-03-03,100,42,2025-04-02
58,"Johnston, Sanchez and Kennedy",Turkey,Ankara,"Dental, Dermatology, Orthopedics","Turkish, Thai",0,1,1,0,0,1,,6278.83,1.3,67,45.3,2025-02-03,561,2025-03-04,41,24,2025-03-30
59,Lee-Davis,India,Mumbai,"Cardiology, Dermatology","English, Thai",0,0,1,1,0,1,,3719.85,2.8,76,52.8,2025-03-09,437,2025-03-29,85,16,2025-04-07
60,Gomez-Jenkins,Mexico,Tijuana,"Dental, Dermatology",English,1,0,1,0,0,1,,6865.13,2.6,92,67.8,2025-02-23,888,2025-02-19,92,3,2025-03-19
61,"Brown, Valdez and Lucas",Turkey,Izmir,"Cosmetic Surgery, Dental","Hindi, Spanish, Thai",1,0,0,1,1,0,,7744.75,3.3,77,61.0,2025-01-29,628,2025-03-06,82,35,2025-04-18
62,Powell LLC,India,Bangalore,"Cosmetic Surgery, Dental, Fertility","Thai, German",1,1,0,0,0,1,,1161.06,4.0,51,7.5,2025-02-10,220,2025-03-25,53,29,2025-04-08
63,Wright and Sons,Mexico,Mexico City,"Dermatology, Cosmetic Surgery","Hindi, English, Thai",0,0,0,0,1,1,,6788.42,2.9,78,30.4,2025-03-22,773,2025-03-17,14,22,2025-04-05
64,"West, Henderson and Ramirez",USA,New York,"Dermatology, Cardiology, Orthopedics","Thai, German, English",0,1,0,0,0,1,,9480.58,4.1,98,19.1,2025-03-08,122,2025-04-18,63,47,2025-04-05
65,Baxter Inc,Mexico,Cancun,"Cardiology, Fertility","Hindi, Thai, German",0,1,0,1,0,1,,9251.04,4.4,86,31.5,2025-02-26,726,2025-03-09,53,18,2025-04-15
66,Morton-Chase,Thailand,Bangkok,"Fertility, Cardiology","Croatian, Thai",1,0,1,0,0,1,,6094.28,3.1,75,62.8,2025-03-06,226,2025-03-28,99,10,2025-04-16
67,Williams PLC,India,Bangalore,Cardiology,"Spanish, German, Thai",0,0,0,0,1,0,,2148.24,1.6,98,47.5,2025-03-27,974,2025-02-28,80,31,2025-04-04
68,Novak and Sons,Croatia,Dubrovnik,"Orthopedics, Cardiology, Cosmetic Surgery","German, Spanish, Turkish",0,1,1,1,1,0,,3843.45,1.3,79,33.1,2025-04-11,377,2025-02-24,36,4,2025-03-29
69,Russell Group,Croatia,Zagreb,"Cardiology, Dermatology, Orthopedics","Hindi, Croatian",0,1,0,1,1,0,,9598.36,2.8,71,70.7,2025-04-08,516,2025-03-08,22,2,2025-04-11
70,Hancock Inc,Germany,Munich,"Cardiology, Dermatology","Spanish, German, Thai",1,1,1,1,0,1,,1126.16,1.4,93,28.4,2025-03-17,741,2025-02-23,84,38,2025-03-22
71,Gray Group,Mexico,Mexico City,Cardiology,"Spanish, German, Thai",1,0,0,1,1,1,,8225.26,3.7,97,71.8,2025-02-10,95,2025-03-08,85,27,2025-04-02
72,House-Glover,Turkey,Istanbul,"Cosmetic Surgery, Fertility",German,1,0,0,0,0,0,,3310.02,4.2,82,55.7,2025-02-10,38,2025-03-07,43,49,2025-03-30
73,Henderson-Bernard,Mexico,Tijuana,"Fertility, Dermatology",Croatian,0,1,0,1,1,0,,9711.09,3.4,98,54.1,2025-02-20,239,2025-03-15,30,19,2025-03-19
74,"Stanley, Tucker and Lee",Croatia,Split,Cosmetic Surgery,"Hindi, Turkish, Thai",1,1,1,0,0,0,,8793.52,1.2,80,63.1,2025-02-07,956,2025-04-12,91,33,2025-03-22
75,Novak PLC,USA,New York,Fertility,"Turkish, Hindi",0,1,0,0,1,1,,9339.48,2.7,75,36.6,2025-03-19,395,2025-04-13,47,14,2025-04-18
76,"Daniels, Adkins and Brown",Turkey,Istanbul,"Dermatology, Cosmetic Surgery, Fertility",English,1,1,0,1,1,0,,9105.65,1.1,63,60.3,2025-02-07,962,2025-03-03,77,33,2025-04-05
77,"Woods, Calhoun and Schmidt",USA,New York,Cosmetic Surgery,English,0,1,1,0,0,1,,6169.02,1.1,82,41.8,2025-03-31,298,2025-03-22,0,39,2025-04-07
78,Yu Inc,Mexico,Tijuana,"Fertility, Dental","German, English, Hindi",0,1,1,0,1,1,,2909.68,1.1,100,5.8,2025-03-19,750,2025-03-07,80,6,2025-03-25
79,Jones Inc,India,Bangalore,"Fertility, Dental","Hindi, German",0,1,1,0,0,0,,7302.43,4.8,52,21.8,2025-04-13,810,2025-04-06,5,20,2025-03-20
80,"Hensley, Powell and David",Turkey,Izmir,"Cardiology, Orthopedics","English, Thai",0,1,1,0,1,1,,1682.51,2.5,75,53.8,2025-02-28,347,2025-04-07,63,44,2025-04-03
81,"Sanchez, Wheeler and Harvey",Turkey,Izmir,"Dental, Orthopedics",Turkish,0,1,1,0,0,1,,6778.73,2.2,88,52.0,2025-03-28,706,2025-03-21,44,28,2025-04-17
82,Sandoval-Cunningham,Germany,Munich,"Orthopedics, Cosmetic Surgery, Dental",Thai,1,1,0,0,0,1,,830.59,1.3,99,46.8,2025-03-03,392,2025-02-17,72,2,2025-03-30
83,Donovan-Harris,Mexico,Tijuana,"Cosmetic Surgery, Dermatology","Croatian, English",0,1,1,1,1,0,,9624.94,1.1,61,36.4,2025-02-28,935,2025-03-14,15,16,2025-03-25
84,"Edwards, Baker and Anderson",Turkey,Izmir,"Fertility, Cardiology","Thai, Turkish",0,0,0,0,1,0,,9037.45,2.8,55,58.5,2025-03-09,683,2025-03-27,90,4,2025-04-01
85,"Evans, Stewart and Walton",India,Mumbai,"Fertility, Dermatology","Hindi, Spanish",0,0,0,0,1,0,,3928.52,3.3,79,58.1,2025-02-07,132,2025-03-10,11,4,2025-04-09
86,Smith PLC,Thailand,Phuket,"Orthopedics, Cardiology, Dermatology","Croatian, Hindi",0,0,1,0,1,1,,6961.04,2.4,99,40.1,2025-02-02,186,2025-02-28,16,27,2025-04-02
87,"Ferrell, Jones and Lewis",Croatia,Zagreb,Cardiology,German,0,0,1,0,1,1,,8536.37,2.0,90,68.9,2025-03-14,128,2025-03-09,38,39,2025-04-01
88,Anderson-Bailey,USA,Miami,"Fertility, Cardiology, Dermatology",Thai,1,0,0,0,0,1,,6685.73,4.1,76,44.9,2025-04-15,509,2025-02-21,80,34,2025-04-09
89,Suarez LLC,Germany,Munich,"Fertility, Orthopedics","Turkish, English",0,0,1,1,1,1,,2438.22,3.4,70,62.2,2025-03-09,751,2025-02-22,44,25,2025-04-14
90,Moore-Bass,Croatia,Split,"Cardiology, Dental, Cosmetic Surgery",Turkish,0,1,1,0,0,0,,980.75,4.8,89,30.7,2025-03-29,833,2025-03-29,73,46,2025-04-08
91,"Turner, Riggs and Roman",Mexico,Cancun,"Cardiology, Orthopedics","German, Turkish",0,0,1,1,0,0,,6041.77,1.2,68,36.1,2025-01-25,688,2025-03-19,36,34,2025-04-18
92,"Smith, Montoya and Evans",Croatia,Zagreb,"Fertility, Cosmetic Surgery","German, Turkish, Croatian",0,1,0,0,1,1,,1198.55,3.0,98,40.0,2025-01-29,696,2025-03-10,15,8,2025-04-15
93,"Garcia, Humphrey and Baker",Thailand,Chiang Mai,"Cardiology, Cosmetic Surgery",Spanish,1,0,0,0,0,1,,8137.68,3.1,59,44.0,2025-02-12,143,2025-03-29,78,20,2025-04-13
94,Newton and Sons,Thailand,Phuket,"Cosmetic Surgery, Cardiology, Dermatology","Croatian, Hindi, Thai",1,1,1,0,1,1,,6901.16,4.9,87,22.8,2025-01-20,644,2025-04-17,76,30,2025-04-10
95,Campbell-Clark,Germany,Hamburg,"Fertility, Dental, Orthopedics",Hindi,1,0,0,0,0,0,,679.9,2.3,59,30.3,2025-03-23,420,2025-03-17,99,39,2025-03-20
96,Harris-Walters,Thailand,Phuket,"Dental, Fertility, Cardiology","German, Thai, Turkish",1,1,0,1,1,1,,6920.75,4.5,93,46.7,2025-01-20,270,2025-03-10,61,12,2025-03-19
97,Wagner-King,Mexico,Mexico City,"Cosmetic Surgery, Fertility, Dermatology","Thai, Spanish",1,1,1,1,1,1,,1657.8,3.7,74,64.6,2025-02-27,838,2025-03-27,98,9,2025-04-09
98,Davis Group,USA,New York,"Dental, Cosmetic Surgery, Orthopedics","German, Thai, Turkish",0,0,1,1,0,0,,6348.93,3.3,65,4.6,2025-02-10,231,2025-03-09,29,3,2025-04-15
99,Williams-Cook,Thailand,Chiang Mai,"Orthopedics, Dental, Fertility",Hindi,0,1,1,1,0,1,,3551.09,3.6,99,7.4,2025-02-04,237,2025-03-15,94,46,2025-03-22
100,Walsh LLC,USA,Los Angeles,"Fertility, Dental","Croatian, Turkish",0,1,0,0,1,0,,9320.32,2.3,79,71.2,2025-02-08,536,2025-03-18,17,32,2025-04-04
101,Figueroa PLC,Turkey,Istanbul,Cosmetic Surgery,Thai,1,1,0,0,1,1,,5893.92,4.0,61,44.4,2025-01-27,918,2025-03-24,54,32,2025-04-08
102,"Patterson, Smith and Jones",USA,New York,"Dental, Fertility, Cardiology","German, Spanish",0,1,1,0,1,1,,9563.33,2.2,96,41.7,2025-03-16,669,2025-03-26,88,15,2025-04-17
103,"Mckee, Gardner and Davenport",Germany,Berlin,"Cosmetic Surgery, Fertility","Thai, Hindi",1,0,1,1,0,0,,9594.93,2.9,79,54.1,2025-01-31,382,2025-03-23,89,35,2025-03-20
104,"Tran, Jordan and Williams",Thailand,Phuket,"Fertility, Dermatology, Dental","Turkish, Hindi, German",0,0,0,0,0,0,,3617.12,3.1,57,49.3,2025-02-03,500,2025-04-13,65,28,2025-03-24
105,Nolan-Flynn,USA,New York,Cardiology,"Turkish, Hindi",0,1,1,0,1,1,,8256.31,4.0,87,6.2,2025-02-23,352,2025-03-05,8,34,2025-04-17
106,Nolan and Sons,USA,New York,Cosmetic Surgery,"Spanish, Croatian",1,1,1,1,1,1,,1262.37,4.9,84,10.4,2025-03-05,121,2025-04-07,68,25,2025-04-02
107,"Wright, Garcia and Deleon",Mexico,Tijuana,Dental,German,1,1,1,0,0,1,,3788.52,2.1,96,55.3,2025-04-14,828,2025-03-07,53,39,2025-03-25
108,Dickson-Brady,USA,Los Angeles,Dental,Hindi,0,1,0,0,0,1,,4670.15,3.2,98,62.3,2025-04-11,143,2025-03-17,37,14,2025-03-23
109,Hancock and Sons,Germany,Hamburg,"Cardiology, Dermatology","Croatian, German, Spanish",1,0,0,1,1,1,,1079.1,4.8,97,65.7,2025-01-28,695,2025-03-22,71,31,2025-04-17
110,Johnson-Doyle,Turkey,Izmir,"Orthopedics, Cardiology, Cosmetic Surgery","Turkish, Croatian, Spanish",1,1,0,1,0,0,,3357.0,3.8,79,65.9,2025-02-06,422,2025-03-23,71,33,2025-04-14
111,Patton-Jenkins,Thailand,Bangkok,"Fertility, Cosmetic Surgery","English, Turkish, German",0,0,0,1,1,0,,8799.39,1.8,98,42.7,2025-01-23,572,2025-04-05,61,13,2025-03-22
112,"Shields, Cochran and Adams",Turkey,Ankara,Fertility,Thai,0,1,0,0,1,0,,5744.75,4.1,74,34.1,2025-01-25,367,2025-03-30,33,23,2025-04-02
113,"Rodriguez, Brennan and Garrison",Thailand,Chiang Mai,Dermatology,"Croatian, German",0,1,1,1,0,0,,7541.9,1.1,85,67.4,2025-02-03,737,2025-03-23,37,9,2025-04-12
114,Gonzalez Group,Turkey,Istanbul,"Cardiology, Fertility","Hindi, Thai",1,1,1,1,1,0,,7461.34,2.4,58,52.1,2025-02-15,188,2025-02-19,69,41,2025-03-19
115,Torres-Pope,USA,Miami,Dental,"English, Croatian, Turkish",0,0,0,0,0,0,,5304.46,2.5,89,46.3,2025-01-30,934,2025-03-19,84,31,2025-04-18
116,Walker Ltd,USA,Miami,"Orthopedics, Dental, Cardiology","Thai, German, Hindi",1,0,1,0,0,0,,5481.66,2.0,89,38.4,2025-03-04,273,2025-02-27,50,5,2025-04-07
117,Ross LLC,Thailand,Chiang Mai,"Fertility, Dermatology, Cosmetic Surgery","Croatian, English, Thai",0,1,1,1,1,0,,6549.11,3.8,55,36.5,2025-02-22,660,2025-02-27,42,36,2025-03-22
118,Rasmussen LLC,USA,Miami,Fertility,Croatian,1,1,0,0,1,0,,2203.87,4.4,51,69.3,2025-02-02,147,2025-03-01,91,25,2025-03-20
119,May-Ross,USA,New York,Cardiology,Hindi,1,1,1,0,0,1,,1010.12,2.7,54,25.2,2025-01-30,977,2025-03-11,50,49,2025-04-08
120,"Rivera, Johnson and Wiley",USA,Miami,"Orthopedics, Dermatology",German,1,1,0,1,0,1,,8081.52,3.9,55,20.0,2025-03-01,728,2025-02-27,81,9,2025-03-26
121,White-Estes,Thailand,Chiang Mai,"Dental, Dermatology",German,1,1,1,0,0,0,,2280.22,2.8,85,37.4,2025-04-05,26,2025-04-13,45,35,2025-04-16
122,Johnson-Carlson,India,Bangalore,"Orthopedics, Dental","Turkish, Croatian",0,0,0,1,0,0,,3054.73,2.1,59,5.5,2025-02-22,282,2025-03-23,38,30,2025-03-24
123,Chandler-Edwards,USA,New York,"Fertility, Orthopedics","Hindi, Spanish, Turkish",0,0,1,0,1,1,,8495.33,2.5,71,32.3,2025-02-22,835,2025-02-25,83,38,2025-04-14
124,"Joyce, Wilson and Lam",Turkey,Ankara,"Dermatology, Fertility, Orthopedics","Spanish, Turkish",1,1,1,0,1,1,,3162.85,4.1,73,9.1,2025-02-05,204,2025-03-12,69,11,2025-03-28
125,Scott Ltd,Croatia,Dubrovnik,Dermatology,"Thai, Spanish",1,1,0,1,1,0,,6516.69,2.0,92,11.9,2025-02-23,808,2025-03-25,9,28,2025-03-30
126,Smith-Frost,Thailand,Phuket,"Cardiology, Dermatology","Turkish, Hindi, English",1,0,0,0,1,0,,6646.5,1.2,91,49.1,2025-02-26,990,2025-03-01,42,50,2025-04-05
127,"Mcdaniel, Bentley and Mclaughlin",USA,Los Angeles,Cosmetic Surgery,Hindi,0,1,1,1,1,0,,3777.19,1.1,56,22.0,2025-04-08,118,2025-02-24,93,9,2025-04-07
128,Diaz Inc,Turkey,Ankara,"Fertility, Cardiology","German, Turkish",0,1,1,1,0,1,,924.49,3.8,51,61.3,2025-01-26,111,2025-03-06,21,47,2025-04-11
129,"Mccall, Hanson and Alvarado",India,Delhi,"Fertility, Cosmetic Surgery, Orthopedics","Spanish, Turkish",0,0,1,1,0,0,,4770.96,2.7,50,51.0,2025-03-23,285,2025-03-01,90,50,2025-04-16
130,Cortez LLC,India,Delhi,"Fertility, Cosmetic Surgery, Cardiology",Turkish,0,1,1,1,1,1,,6076.54,2.4,79,44.8,2025-01-22,722,2025-02-26,38,39,2025-03-31
131,"Parker, Ortiz and Powell",USA,Miami,Cosmetic Surgery,Spanish,1,0,0,1,0,1,,4473.27,1.6,74,31.0,2025-02-15,650,2025-03-15,88,41,2025-03-20
132,Spencer-Lee,Mexico,Tijuana,Orthopedics,"Spanish, Croatian",1,1,0,1,0,1,,1797.08,4.3,85,36.9,2025-02-14,418,2025-03-06,62,26,2025-03-27
133,"Bentley, Byrd and Orr",Croatia,Split,"Fertility, Dental","English, Spanish, German",0,1,0,1,0,1,,5873.68,4.1,81,40.0,2025-04-04,586,2025-04-11,34,49,2025-04-01
134,"Carroll, Sullivan and Bass",Croatia,Split,"Dental, Orthopedics, Fertility","English, Thai",0,1,0,1,1,1,,8690.9,1.3,57,56.1,2025-03-19,214,2025-02-26,94,37,2025-03-27
135,Mitchell-Jordan,Turkey,Izmir,"Dermatology, Orthopedics, Fertility","Spanish, Croatian, Thai",0,1,1,0,1,1,,3248.67,2.1,82,71.0,2025-01-22,834,2025-04-12,17,48,2025-03-24
136,"Lawson, Morris and Ramos",Thailand,Bangkok,"Dermatology, Fertility","Croatian, Spanish, Thai",0,1,0,1,1,0,,5985.54,2.1,76,27.6,2025-04-09,648,2025-02-27,98,5,2025-04-06
137,"Lewis, Kennedy and Santana",India,Bangalore,"Dermatology, Cosmetic Surgery","Turkish, German",0,0,1,1,0,1,,2569.38,2.7,63,36.1,2025-03-08,848,2025-03-31,43,35,2025-03-31
